,crc,take_type,allo_block,wap,sd1_7,max_rate_wap,in_sw_allo,sd1_150,sd1_30,rate_ratio,ExtSiteID
37,CRC011245,Take Surface Water,A,K36/0920,100.0,7100.0,True,100.0,100.0,1.0,168833
38,CRC011331.1,Take Groundwater,A,K37/0062,63.0,2.0,True,92.0,81.0,1.0,68801
39,CRC011820.3,Take Groundwater,A,K37/1604,18.0,4.0,False,77.0,52.0,0.5,68801
40,CRC011820.3,Take Groundwater,A,K37/1605,28.0,4.0,False,82.0,61.0,0.5,68801
41,CRC011923,Take Groundwater,A,K36/0130,45.0,36.0,True,87.0,72.0,1.0,168834
42,CRC011923,Take Groundwater,A,K36/0130,45.0,36.0,True,87.0,72.0,1.0,68801
43,CRC012482.1,Take Groundwater,A,K37/0434,47.0,49.0,True,88.0,73.0,0.3828125,68801
44,CRC012482.1,Take Groundwater,A,K37/0434,47.0,49.0,True,88.0,73.0,0.3828125,168833
45,CRC012482.1,Take Groundwater,A,K37/0461,51.0,49.0,True,89.0,75.0,0.3828125,68801
46,CRC012482.1,Take Groundwater,A,K37/0461,51.0,49.0,True,89.0,75.0,0.3828125,168833
47,CRC012482.1,Take Groundwater,A,K37/0462,60.0,30.0,True,91.0,80.0,0.234375,68801
48,CRC012482.1,Take Groundwater,A,K37/0462,60.0,30.0,True,91.0,80.0,0.234375,168833
49,CRC012671,Take Groundwater,A,K37/0792,54.0,13.0,True,90.0,77.0,1.0,168834
50,CRC012671,Take Groundwater,A,K37/0792,54.0,13.0,True,90.0,77.0,1.0,68801
51,CRC020211,Take Groundwater,A,K37/1333,90.0,45.0,True,98.0,95.0,1.0,168834
52,CRC020211,Take Groundwater,A,K37/1333,90.0,45.0,True,98.0,95.0,1.0,68801
53,CRC020484.1,Take Groundwater,A,K37/1360,0.0,100.0,True,0.0,0.0,1.0,68801
54,CRC020484.1,Take Groundwater,A,K37/1360,0.0,100.0,True,0.0,0.0,1.0,168833
55,CRC020951.2,Take Groundwater,A,K37/0561,0.0,30.0,True,0.0,0.0,1.0,1688218
56,CRC952016.1,Take Groundwater,A,K37/0561,0.0,30.0,True,0.0,0.0,1.0,1688218
57,CRC021057.1,Take Groundwater,A,K37/1430,81.0,40.0,True,96.0,91.0,1.0,68801
58,CRC021057.1,Take Groundwater,A,K37/1430,81.0,40.0,True,96.0,91.0,1.0,168833
59,CRC152835,Take Groundwater,A,K37/1430,81.0,105.0,True,96.0,91.0,0.695364238410596,68801
60,CRC152835,Take Groundwater,A,K37/1430,81.0,105.0,True,96.0,91.0,0.695364238410596,168833
61,CRC021199,Take Groundwater,A,K36/0549,95.0,26.0,True,99.0,98.0,0.5,68801
62,CRC021199,Take Groundwater,A,K36/0549,95.0,26.0,True,99.0,98.0,0.5,168833
63,CRC021199,Take Groundwater,A,K36/0549,95.0,26.0,True,99.0,98.0,0.5,168841
64,CRC021199,Take Groundwater,A,K36/0549,95.0,26.0,True,99.0,98.0,0.5,168846
65,CRC021199,Take Groundwater,A,K36/0550,0.0,26.0,False,0.0,0.0,0.5,68801
66,CRC021199,Take Groundwater,A,K36/0550,0.0,26.0,False,0.0,0.0,0.5,168833
67,CRC021199,Take Groundwater,A,K36/0550,0.0,26.0,False,0.0,0.0,0.5,168841
68,CRC021199,Take Groundwater,A,K36/0550,0.0,26.0,False,0.0,0.0,0.5,168846
69,CRC021736.5,Take Groundwater,A,K36/0101,64.0,38.0,True,92.0,82.0,0.5,68801
70,CRC021736.5,Take Groundwater,A,K36/0101,64.0,38.0,True,92.0,82.0,0.5,168833
71,CRC021736.5,Take Groundwater,A,K36/0203,73.0,38.0,True,94.0,87.0,0.5,68801
72,CRC021736.5,Take Groundwater,A,K36/0203,73.0,38.0,True,94.0,87.0,0.5,168833
73,CRC021736.5,Take Groundwater,A,K36/0203,73.0,38.0,True,94.0,87.0,0.5,168821
74,CRC021968.2,Take Groundwater,A,K37/1510,0.0,36.0,True,0.0,0.0,1.0,168834
75,CRC021968.2,Take Groundwater,A,K37/1510,0.0,36.0,True,0.0,0.0,1.0,68801
76,CRC022026,Take Groundwater,A,K36/0128,100.0,4.9,True,100.0,100.0,1.0,68801
77,CRC022026,Take Groundwater,A,K36/0128,100.0,4.9,True,100.0,100.0,1.0,168833
78,CRC022026,Take Groundwater,A,K36/0128,100.0,4.9,True,100.0,100.0,1.0,48
79,CRC022038,Take Groundwater,A,K37/0433,69.0,4.9,True,93.0,85.0,1.0,168834
80,CRC022038,Take Groundwater,A,K37/0433,69.0,4.9,True,93.0,85.0,1.0,68801
81,CRC022082,Take Groundwater,A,K36/0486,0.0,19.0,True,0.0,0.0,1.0,168834
82,CRC022082,Take Groundwater,A,K36/0486,0.0,19.0,True,0.0,0.0,1.0,68801
83,CRC030152.2,Take Groundwater,A,K37/1534,0.0,85.0,True,0.0,0.0,1.0,68801
84,CRC030152.2,Take Groundwater,A,K37/1534,0.0,85.0,True,0.0,0.0,1.0,168833
85,CRC030337,Take Groundwater,A,K36/0217,47.0,72.0,True,88.0,73.0,1.0,168834
86,CRC030337,Take Groundwater,A,K36/0217,47.0,72.0,True,88.0,73.0,1.0,68801
87,CRC030376.1,Take Groundwater,A,K36/0854,0.0,24.0,False,0.0,0.0,1.0,168834
88,CRC030376.1,Take Groundwater,A,K36/0854,0.0,24.0,False,0.0,0.0,1.0,68801
89,CRC030376.1,Take Groundwater,A,K36/0854,0.0,24.0,False,0.0,0.0,1.0,168837
90,CRC030557,Take Groundwater,A,K37/0431,77.0,39.0,True,95.0,89.0,1.0,68801
91,CRC030557,Take Groundwater,A,K37/0431,77.0,39.0,True,95.0,89.0,1.0,168833
92,CRC030598.2,Take Groundwater,A,K36/0922,7.0,53.0,True,69.0,38.0,1.0,68801
93,CRC030598.2,Take Groundwater,A,K36/0922,7.0,53.0,True,69.0,38.0,1.0,168833
94,CRC030598.2,Take Groundwater,A,K36/0922,7.0,53.0,True,69.0,38.0,1.0,168821
95,CRC030721,Take Groundwater,A,K37/0836,0.0,18.0,True,0.0,0.0,1.0,168834
96,CRC030721,Take Groundwater,A,K37/0836,0.0,18.0,True,0.0,0.0,1.0,68801
97,CRC120763,Take Groundwater,A,K37/0836,0.0,20.0,True,0.0,0.0,1.0,168834
98,CRC120763,Take Groundwater,A,K37/0836,0.0,20.0,True,0.0,0.0,1.0,68801
99,CRC030836,Take Groundwater,A,K37/1650,0.0,15.0,True,0.0,0.0,1.0,168834
100,CRC030836,Take Groundwater,A,K37/1650,0.0,15.0,True,0.0,0.0,1.0,68801
101,CRC031720,Take Surface Water,A,K36/0891,100.0,6.1,True,100.0,100.0,1.0,168834
102,CRC031720,Take Surface Water,A,K36/0891,100.0,6.1,True,100.0,100.0,1.0,68801
103,CRC032255,Take Groundwater,A,K37/1583,0.0,52.0,True,0.0,0.0,0.5,68801
104,CRC032255,Take Groundwater,A,K37/1583,0.0,52.0,True,0.0,0.0,0.5,168833
105,CRC032255,Take Groundwater,A,K37/1659,0.0,52.0,True,0.0,0.0,0.5,1688218
106,CRC032255,Take Groundwater,A,K37/1659,0.0,52.0,True,0.0,0.0,0.5,168840
107,CRC040121.2,Take Groundwater,A,K37/1725,0.0,34.0,True,0.0,0.0,1.0,168834
108,CRC040121.2,Take Groundwater,A,K37/1725,0.0,34.0,True,0.0,0.0,1.0,68801
109,CRC040799,Take Groundwater,A,K37/0899,83.0,7.25,True,96.0,91.0,1.0,68801
110,CRC040799,Take Groundwater,A,K37/0899,83.0,7.25,True,96.0,91.0,1.0,168833
111,CRC041831.1,Take Groundwater,A,K36/0697,0.0,38.0,True,0.0,0.0,0.2753623188405797,68801
112,CRC041831.1,Take Groundwater,A,K36/0697,0.0,38.0,True,0.0,0.0,0.2753623188405797,168833
113,CRC041831.1,Take Groundwater,A,K36/0802,0.0,50.0,True,0.0,0.0,0.36231884057971014,68801
114,CRC041831.1,Take Groundwater,A,K36/0802,0.0,50.0,True,0.0,0.0,0.36231884057971014,168833
115,CRC041831.1,Take Groundwater,A,K36/0919,0.0,50.0,True,0.0,0.0,0.36231884057971014,68801
116,CRC041831.1,Take Groundwater,A,K36/0919,0.0,50.0,True,0.0,0.0,0.36231884057971014,168833
117,CRC042190.2,Take Groundwater,A,K36/0651,0.0,28.0,True,0.0,0.0,0.7106598984771574,68801
118,CRC042190.2,Take Groundwater,A,K36/0651,0.0,28.0,True,0.0,0.0,0.7106598984771574,168833
119,CRC042190.2,Take Groundwater,A,K36/0704,20.0,11.4,True,78.0,54.0,0.2893401015228427,68801
120,CRC042190.2,Take Groundwater,A,K36/0704,20.0,11.4,True,78.0,54.0,0.2893401015228427,168833
121,CRC042230.1,Take Groundwater,A,K36/0817,0.0,97.0,True,0.0,0.0,1.0,68801
122,CRC042230.1,Take Groundwater,A,K36/0817,0.0,97.0,True,0.0,0.0,1.0,168833
123,CRC042230.1,Take Groundwater,A,K36/0817,0.0,97.0,True,0.0,0.0,1.0,168841
124,CRC042230.1,Take Groundwater,A,K36/0817,0.0,97.0,True,0.0,0.0,1.0,168846
125,CRC042462,Take Groundwater,A,K37/1334,0.0,10.0,True,0.0,0.0,1.0,1688218
126,CRC042462,Take Groundwater,A,K37/1334,0.0,10.0,True,0.0,0.0,1.0,168840
127,CRC050332.2,Take Groundwater,A,K37/2300,0.0,18.0,True,0.0,0.0,1.0,168834
128,CRC050332.2,Take Groundwater,A,K37/2300,0.0,18.0,True,0.0,0.0,1.0,68801
129,CRC050404.2,Take Groundwater,A,K37/2277,0.0,16.0,True,0.0,0.0,1.0,68801
130,CRC050404.2,Take Groundwater,A,K37/2277,0.0,16.0,True,0.0,0.0,1.0,168833
131,CRC050465.1,Take Groundwater,A,K36/0818,0.0,50.0,True,0.0,0.0,0.625,168834
132,CRC050465.1,Take Groundwater,A,K36/0818,0.0,50.0,True,0.0,0.0,0.625,68801
133,CRC050465.1,Take Groundwater,A,K36/0819,55.0,30.0,True,90.0,78.0,0.375,168834
134,CRC050465.1,Take Groundwater,A,K36/0819,55.0,30.0,True,90.0,78.0,0.375,68801
135,CRC050834.2,Take Groundwater,A,K37/2353,0.0,25.0,True,0.0,0.0,0.4166666666666667,68801
136,CRC050834.2,Take Groundwater,A,K37/2353,0.0,25.0,True,0.0,0.0,0.4166666666666667,168833
137,CRC050834.2,Take Groundwater,A,K37/2577,0.0,35.0,True,0.0,0.0,0.5833333333333334,68801
138,CRC050834.2,Take Groundwater,A,K37/2577,0.0,35.0,True,0.0,0.0,0.5833333333333334,168833
139,CRC050908.5,Take Groundwater,A,K36/0808,0.0,92.0,True,0.0,0.0,0.647887323943662,168834
140,CRC050908.5,Take Groundwater,A,K36/0808,0.0,92.0,True,0.0,0.0,0.647887323943662,68801
141,CRC050908.5,Take Groundwater,A,K36/0808,0.0,92.0,True,0.0,0.0,0.647887323943662,168837
142,CRC050908.5,Take Groundwater,A,K36/0836,0.0,50.0,True,0.0,0.0,0.352112676056338,168834
143,CRC050908.5,Take Groundwater,A,K36/0836,0.0,50.0,True,0.0,0.0,0.352112676056338,68801
144,CRC050908.5,Take Groundwater,A,K36/0836,0.0,50.0,True,0.0,0.0,0.352112676056338,168837
145,CRC050912.2,Take Groundwater,A,K37/1299,37.0,13.0,True,85.0,66.0,1.0,68801
146,CRC050912.2,Take Groundwater,A,K37/1299,37.0,13.0,True,85.0,66.0,1.0,168833
147,CRC050942.2,Take Groundwater,A,K36/0787,0.0,55.0,True,0.0,0.0,1.0,168834
148,CRC050942.2,Take Groundwater,A,K36/0787,0.0,55.0,True,0.0,0.0,1.0,68801
149,CRC050942.2,Take Groundwater,A,K36/0787,0.0,55.0,True,0.0,0.0,1.0,168837
150,CRC051182,Take Groundwater,A,K37/1990,0.0,11.0,True,0.0,0.0,1.0,168834
151,CRC051182,Take Groundwater,A,K37/1990,0.0,11.0,True,0.0,0.0,1.0,68801
152,CRC051278,Take Groundwater,A,K37/2437,0.0,87.0,True,0.0,0.0,1.0,68801
153,CRC051278,Take Groundwater,A,K37/2437,0.0,87.0,True,0.0,0.0,1.0,168833
154,CRC052582.2,Take Groundwater,A,K37/2386,0.0,62.0,True,0.0,0.0,1.0,68801
155,CRC052582.2,Take Groundwater,A,K37/2386,0.0,62.0,True,0.0,0.0,1.0,168833
156,CRC052646.1,Take Groundwater,A,K36/0815,0.0,31.0,True,0.0,0.0,1.0,168834
157,CRC052646.1,Take Groundwater,A,K36/0815,0.0,31.0,True,0.0,0.0,1.0,68801
158,CRC054382.1,Take Groundwater,A,BY20/0018,0.0,40.0,True,0.0,0.0,1.0,68801
159,CRC054382.1,Take Groundwater,A,BY20/0018,0.0,40.0,True,0.0,0.0,1.0,168833
160,CRC054610.1,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,1.0,68801
161,CRC054610.1,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,1.0,168833
162,CRC054610.1,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,1.0,168841
163,CRC054610.1,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,1.0,168846
164,CRC980368.2,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,0.671875,68801
165,CRC980368.2,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,0.671875,168833
166,CRC980368.2,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,0.671875,168841
167,CRC980368.2,Take Groundwater,A,K36/0823,0.0,86.0,True,0.0,0.0,0.671875,168846
168,CRC060738.1,Take Groundwater,A,K37/2486,0.0,21.0,True,0.0,0.0,1.0,168834
169,CRC060738.1,Take Groundwater,A,K37/2486,0.0,21.0,True,0.0,0.0,1.0,68801
170,CRC156174,Take Groundwater,A,K37/2486,0.0,28.0,True,0.0,0.0,1.0,168834
171,CRC156174,Take Groundwater,A,K37/2486,0.0,28.0,True,0.0,0.0,1.0,68801
172,CRC063212,Take Groundwater,A,K37/1508,0.0,6.5,True,0.0,0.0,1.0,1688218
173,CRC063212,Take Groundwater,A,K37/1508,0.0,6.5,True,0.0,0.0,1.0,168840
174,CRC064232,Take Groundwater,A,K37/2908,90.0,88.0,True,98.0,95.0,1.0,1688218
175,CRC064232,Take Groundwater,A,K37/2908,90.0,88.0,True,98.0,95.0,1.0,168840
176,CRC080795,Take Groundwater,A,K37/3048,30.0,9.5,True,82.0,62.0,1.0,68801
177,CRC081224,Take Surface Water,B,K36/1036,100.0,200.0,True,100.0,100.0,1.0,168834
178,CRC081224,Take Surface Water,B,K36/1036,100.0,200.0,True,100.0,100.0,1.0,68801
179,CRC110621,Take Groundwater,A,K37/0178,71.0,12.5,True,94.0,86.0,1.0,68801
180,CRC111089.1,Take Groundwater,A,K37/2080,42.0,10.0,True,86.0,70.0,0.5,68801
181,CRC111089.1,Take Groundwater,A,K37/3246,47.0,10.0,True,88.0,73.0,0.5,68801
182,CRC122027,Take Groundwater,A,K37/3571,0.0,4.99,True,0.0,0.0,1.0,68801
183,CRC122521,Take Surface Water,A,BX20/0009,100.0,20.0,True,100.0,100.0,1.0,168834
184,CRC122521,Take Surface Water,A,BX20/0009,100.0,20.0,True,100.0,100.0,1.0,168849
185,CRC122521,Take Surface Water,A,BX20/0009,100.0,20.0,True,100.0,100.0,1.0,68801
186,CRC122704,Take Groundwater,A,K36/1080,0.0,4.5,True,0.0,0.0,1.0,68801
187,CRC122704,Take Groundwater,A,K36/1080,0.0,4.5,True,0.0,0.0,1.0,168833
188,CRC122704,Take Groundwater,A,K36/1080,0.0,4.5,True,0.0,0.0,1.0,168841
189,CRC122704,Take Groundwater,A,K36/1080,0.0,4.5,True,0.0,0.0,1.0,168846
190,CRC122886,Take Groundwater,A,K36/0576,80.0,2.25,True,96.0,90.0,1.0,68801
191,CRC122886,Take Groundwater,A,K36/0576,80.0,2.25,True,96.0,90.0,1.0,168833
192,CRC122886,Take Groundwater,A,K36/0576,80.0,2.25,True,96.0,90.0,1.0,48
193,CRC132046,Take Groundwater,A,K36/0206,0.0,60.0,True,0.0,0.0,0.5958291956305859,68801
194,CRC132046,Take Groundwater,A,K36/0206,0.0,60.0,True,0.0,0.0,0.5958291956305859,168833
195,CRC132046,Take Groundwater,A,K36/0225,8.0,22.7,True,70.0,39.0,0.22542204568023833,68801
196,CRC132046,Take Groundwater,A,K36/0225,8.0,22.7,True,70.0,39.0,0.22542204568023833,168833
197,CRC132046,Take Groundwater,A,K36/0387,66.0,18.0,True,92.0,83.0,0.17874875868917575,68801
198,CRC132046,Take Groundwater,A,K36/0387,66.0,18.0,True,92.0,83.0,0.17874875868917575,168833
199,CRC134426,Take Surface Water,A,K36/0890,100.0,7.7,True,100.0,100.0,1.0,68801
200,CRC134426,Take Surface Water,A,K36/0890,100.0,7.7,True,100.0,100.0,1.0,168833
201,CRC134426,Take Surface Water,A,K36/0890,100.0,7.7,True,100.0,100.0,1.0,168821
202,CRC140903,Take Groundwater,A,K36/0640,0.0,58.0,True,0.0,0.0,0.5,68801
203,CRC140903,Take Groundwater,A,K36/0640,0.0,58.0,True,0.0,0.0,0.5,168833
204,CRC154477,Take Groundwater,A,K36/0640,0.0,40.0,True,0.0,0.0,0.23529411764705882,68801
205,CRC154477,Take Groundwater,A,K36/0640,0.0,40.0,True,0.0,0.0,0.23529411764705882,168833
206,CRC140903,Take Groundwater,A,K36/0657,0.0,58.0,True,0.0,0.0,0.5,68801
207,CRC140903,Take Groundwater,A,K36/0657,0.0,58.0,True,0.0,0.0,0.5,168833
208,CRC154477,Take Groundwater,A,K36/0657,0.0,55.0,True,0.0,0.0,0.3235294117647059,68801
209,CRC154477,Take Groundwater,A,K36/0657,0.0,55.0,True,0.0,0.0,0.3235294117647059,168833
210,CRC143559,Take Groundwater,A,K37/3084,0.0,41.4,True,0.0,0.0,1.0,168834
211,CRC143559,Take Groundwater,A,K37/3084,0.0,41.4,True,0.0,0.0,1.0,68801
212,CRC144494,Take Groundwater,A,K37/2341,0.0,53.0,True,0.0,0.0,1.0,168834
213,CRC144494,Take Groundwater,A,K37/2341,0.0,53.0,True,0.0,0.0,1.0,68801
214,CRC144570,Take Groundwater,A,K37/0015,6.0,11.5,True,69.0,37.0,1.0,168834
215,CRC144570,Take Groundwater,A,K37/0015,6.0,11.5,True,69.0,37.0,1.0,68801
216,CRC145502,Take Groundwater,A,K36/0085,48.0,45.0,True,88.0,73.0,0.2903225806451613,68801
217,CRC145502,Take Groundwater,A,K36/0085,48.0,45.0,True,88.0,73.0,0.2903225806451613,168833
218,CRC145502,Take Groundwater,A,K36/0085,48.0,45.0,True,88.0,73.0,0.2903225806451613,168841
219,CRC145502,Take Groundwater,A,K36/0085,48.0,45.0,True,88.0,73.0,0.2903225806451613,168846
220,CRC145502,Take Groundwater,A,K36/0677,0.0,55.0,True,0.0,0.0,0.3548387096774194,68801
221,CRC145502,Take Groundwater,A,K36/0677,0.0,55.0,True,0.0,0.0,0.3548387096774194,168833
222,CRC145502,Take Groundwater,A,K36/0677,0.0,55.0,True,0.0,0.0,0.3548387096774194,168841
223,CRC145502,Take Groundwater,A,K36/0677,0.0,55.0,True,0.0,0.0,0.3548387096774194,168846
224,CRC145502,Take Groundwater,A,K36/0678,0.0,55.0,True,0.0,0.0,0.3548387096774194,68801
225,CRC145502,Take Groundwater,A,K36/0678,0.0,55.0,True,0.0,0.0,0.3548387096774194,168833
226,CRC145502,Take Groundwater,A,K36/0678,0.0,55.0,True,0.0,0.0,0.3548387096774194,168841
227,CRC145502,Take Groundwater,A,K36/0678,0.0,55.0,True,0.0,0.0,0.3548387096774194,168846
228,CRC145860,Take Groundwater,A,K36/0997,0.0,35.0,True,0.0,0.0,1.0,168834
229,CRC145860,Take Groundwater,A,K36/0997,0.0,35.0,True,0.0,0.0,1.0,68801
230,CRC145860,Take Groundwater,A,K36/0997,0.0,35.0,True,0.0,0.0,1.0,168837
231,CRC146145,Take Groundwater,A,K37/0427,20.0,10.0,True,78.0,53.0,1.0,68801
232,CRC150344,Take Groundwater,A,K36/0110,54.0,40.0,True,90.0,77.0,0.13245033112582782,68801
233,CRC150344,Take Groundwater,A,K36/0110,54.0,40.0,True,90.0,77.0,0.13245033112582782,168833
234,CRC150344,Take Groundwater,A,K36/0110,54.0,40.0,True,90.0,77.0,0.13245033112582782,168841
235,CRC150344,Take Groundwater,A,K36/0110,54.0,40.0,True,90.0,77.0,0.13245033112582782,168846
236,CRC150344,Take Groundwater,A,K36/0111,85.0,30.0,True,97.0,93.0,0.09933774834437085,68801
237,CRC150344,Take Groundwater,A,K36/0111,85.0,30.0,True,97.0,93.0,0.09933774834437085,168833
238,CRC150344,Take Groundwater,A,K36/0628,0.0,96.0,True,0.0,0.0,0.31788079470198677,68801
239,CRC150344,Take Groundwater,A,K36/0628,0.0,96.0,True,0.0,0.0,0.31788079470198677,168833
240,CRC150344,Take Groundwater,A,K36/0628,0.0,96.0,True,0.0,0.0,0.31788079470198677,168841
241,CRC150344,Take Groundwater,A,K36/0628,0.0,96.0,True,0.0,0.0,0.31788079470198677,168846
242,CRC150344,Take Groundwater,A,K36/0681,0.0,96.0,True,0.0,0.0,0.31788079470198677,68801
243,CRC150344,Take Groundwater,A,K36/0681,0.0,96.0,True,0.0,0.0,0.31788079470198677,168833
244,CRC150344,Take Groundwater,A,K36/0681,0.0,96.0,True,0.0,0.0,0.31788079470198677,168841
245,CRC150344,Take Groundwater,A,K36/0681,0.0,96.0,True,0.0,0.0,0.31788079470198677,168846
246,CRC150344,Take Groundwater,A,K36/1008,60.0,40.0,True,91.0,80.0,0.13245033112582782,68801
247,CRC150344,Take Groundwater,A,K36/1008,60.0,40.0,True,91.0,80.0,0.13245033112582782,168833
248,CRC150344,Take Groundwater,A,K36/1008,60.0,40.0,True,91.0,80.0,0.13245033112582782,168841
249,CRC150344,Take Groundwater,A,K36/1008,60.0,40.0,True,91.0,80.0,0.13245033112582782,168846
250,CRC151569,Take Surface Water,A,K36/0955,100.0,60.0,True,100.0,100.0,1.0,68801
251,CRC151569,Take Surface Water,A,K36/0955,100.0,60.0,True,100.0,100.0,1.0,168833
252,CRC151569,Take Surface Water,A,K36/0955,100.0,60.0,True,100.0,100.0,1.0,168841
253,CRC151569,Take Surface Water,A,K36/0955,100.0,60.0,True,100.0,100.0,1.0,168846
254,CRC151902,Take Groundwater,A,K36/0087,88.0,28.0,True,97.0,94.0,1.0,68801
255,CRC151902,Take Groundwater,A,K36/0087,88.0,28.0,True,97.0,94.0,1.0,168833
256,CRC151905,Take Groundwater,A,K36/0633,0.0,40.0,True,0.0,0.0,1.0,68801
257,CRC151905,Take Groundwater,A,K36/0633,0.0,40.0,True,0.0,0.0,1.0,168833
258,CRC152538,Take Groundwater,A,K36/0832,100.0,4.9,True,100.0,100.0,1.0,68801
259,CRC152538,Take Groundwater,A,K36/0832,100.0,4.9,True,100.0,100.0,1.0,168833
260,CRC152538,Take Groundwater,A,K36/0832,100.0,4.9,True,100.0,100.0,1.0,168821
261,CRC152835,Take Groundwater,A,K37/2358,54.0,46.0,True,90.0,77.0,0.304635761589404,68801
262,CRC152835,Take Groundwater,A,K37/2358,54.0,46.0,True,90.0,77.0,0.304635761589404,168833
263,CRC153080,Take Groundwater,A,BX20/0025,0.0,28.0,True,0.0,0.0,0.6222222222222222,168834
264,CRC153080,Take Groundwater,A,BX20/0025,0.0,28.0,True,0.0,0.0,0.6222222222222222,168849
265,CRC153080,Take Groundwater,A,BX20/0025,0.0,28.0,True,0.0,0.0,0.6222222222222222,68801
266,CRC153080,Take Groundwater,A,K35/0034,0.0,17.0,True,0.0,0.0,0.37777777777777777,168834
267,CRC153080,Take Groundwater,A,K35/0034,0.0,17.0,True,0.0,0.0,0.37777777777777777,168849
268,CRC153080,Take Groundwater,A,K35/0034,0.0,17.0,True,0.0,0.0,0.37777777777777777,68801
