,Flow,Flow,Flow,Flow,Flow,Flow,Flow,Flow,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow
2007-09-10,2.223,0.07,5.924,1.246,0.227,0.176,8.017,3.832,0.148,0.0,1.877,1.568,0.419,0.015,3.447,0.0,2.371,0.07,7.8,2.813,0.646,0.191,11.464,3.832
2007-09-11,2.111,0.069,5.849,1.209,0.219,0.185,7.886,3.672,0.148,0.0,1.872,1.569,0.42,0.015,3.444,0.0,2.259,0.069,7.721,2.778,0.639,0.2,11.33,3.672
2007-09-12,1.97,0.069,5.69,1.134,0.209,0.181,7.608,3.558,0.148,0.0,1.868,1.57,0.421,0.015,3.442,0.0,2.118,0.069,7.558,2.705,0.63,0.196,11.05,3.558
2007-09-13,1.887,0.069,5.576,1.082,0.203,0.188,7.411,3.551,0.148,0.0,1.866,1.572,0.421,0.015,3.441,0.0,2.036,0.069,7.443,2.654,0.624,0.203,10.852,3.551
2007-09-14,1.894,0.069,5.584,1.086,0.31,0.167,7.424,5.053,0.149,0.0,1.865,1.573,0.422,0.015,3.441,0.0,2.042,0.069,7.449,2.659,0.732,0.182,10.865,5.053
2007-09-15,2.362,0.071,6.365,1.473,0.32,0.181,8.804,4.84,0.149,0.0,1.866,1.574,0.423,0.015,3.443,0.0,2.511,0.071,8.231,3.047,0.743,0.197,12.247,4.84
2007-09-16,2.422,0.069,6.695,1.656,0.296,0.182,9.401,5.537,0.149,0.0,1.871,1.576,0.424,0.016,3.449,0.0,2.571,0.07,8.565,3.232,0.72,0.198,12.85,5.537
2007-09-17,2.228,0.068,6.602,1.603,0.314,0.192,9.232,5.7,0.15,0.0,1.882,1.577,0.425,0.016,3.462,0.0,2.378,0.068,8.484,3.18,0.739,0.209,12.694,5.7
2007-09-18,1.983,0.069,6.051,1.309,0.267,0.185,8.242,4.7,0.152,0.0,1.899,1.578,0.426,0.017,3.48,0.0,2.134,0.069,7.95,2.887,0.693,0.202,11.722,4.7
2007-09-19,1.846,0.07,5.789,1.181,0.244,0.176,7.781,4.314,0.153,0.0,1.922,1.579,0.428,0.019,3.504,0.0,1.999,0.07,7.711,2.76,0.672,0.195,11.285,4.314
2007-09-20,1.703,0.069,5.546,1.068,0.226,0.175,7.358,4.076,0.155,0.0,1.951,1.58,0.429,0.02,3.534,0.0,1.858,0.069,7.496,2.648,0.655,0.195,10.892,4.076
2007-09-21,1.616,0.069,5.578,1.083,0.214,0.182,7.414,3.942,0.157,0.0,1.984,1.581,0.431,0.022,3.568,0.0,1.773,0.07,7.562,2.664,0.645,0.204,10.982,3.942
2007-09-22,1.587,0.071,5.402,1.005,0.207,0.189,7.111,3.995,0.159,0.0,2.022,1.582,0.433,0.024,3.607,0.0,1.746,0.071,7.424,2.587,0.64,0.213,10.718,3.995
2007-09-23,4.613,0.071,5.774,1.174,0.329,0.116,7.755,5.11,0.162,0.001,2.064,1.583,0.435,0.026,3.651,0.0,4.775,0.071,7.838,2.757,0.764,0.142,11.406,5.11
2007-09-24,7.316,0.073,8.104,2.584,0.413,0.189,12.056,5.148,0.164,0.001,2.11,1.585,0.436,0.028,3.698,0.0,7.48,0.073,10.214,4.169,0.85,0.217,15.754,5.148
2007-09-25,7.642,0.071,6.664,1.639,0.379,0.198,9.345,4.818,0.167,0.001,2.16,1.586,0.439,0.031,3.749,0.0,7.809,0.071,8.824,3.224,0.818,0.229,13.094,4.818
2007-09-26,8.086,0.07,7.499,2.157,0.356,0.148,10.898,4.654,0.17,0.001,2.213,1.587,0.441,0.033,3.804,0.0,8.257,0.07,9.712,3.744,0.796,0.182,14.702,4.654
2007-09-27,6.924,0.069,6.92,1.789,0.311,0.181,9.815,4.334,0.174,0.001,2.268,1.588,0.443,0.036,3.861,0.0,7.097,0.07,9.188,3.377,0.754,0.217,13.676,4.334
2007-09-28,5.734,0.068,6.349,1.464,0.278,0.156,8.775,4.107,0.177,0.001,2.327,1.59,0.446,0.039,3.921,0.0,5.911,0.069,8.676,3.054,0.724,0.195,12.696,4.107
2007-09-29,4.846,0.068,6.179,1.374,0.258,0.142,8.47,3.969,0.18,0.001,2.387,1.592,0.448,0.042,3.983,0.0,5.026,0.069,8.566,2.966,0.706,0.183,12.453,3.969
2007-09-30,4.205,0.069,6.001,1.284,0.658,0.125,8.153,5.084,0.184,0.001,2.449,1.593,0.451,0.045,4.047,0.0,4.389,0.07,8.45,2.877,1.109,0.17,12.2,5.084
2007-10-01,3.965,0.068,9.202,3.474,1.745,0.166,14.223,14.764,0.19,0.001,3.235,1.604,0.457,0.764,4.843,0.0,4.155,0.069,12.436,5.077,2.202,0.931,19.066,14.764
2007-10-02,3.583,0.066,12.816,7.512,1.461,0.581,21.89,13.344,0.193,0.001,3.299,1.606,0.46,0.767,4.91,0.0,3.776,0.068,16.115,9.117,1.921,1.349,26.8,13.344
2007-10-03,3.254,0.066,9.773,3.996,0.951,0.344,15.382,10.202,0.197,0.002,3.365,1.608,0.463,0.77,4.978,0.0,3.451,0.068,13.138,5.604,1.414,1.115,20.36,10.202
2007-10-04,2.884,0.066,8.401,2.81,0.923,0.255,12.633,10.553,0.201,0.002,3.431,1.61,0.466,0.773,5.047,0.0,3.085,0.067,11.832,4.42,1.389,1.029,17.68,10.553
2007-10-05,2.992,0.066,11.09,5.364,1.517,0.203,18.133,14.881,0.205,0.002,3.497,1.613,0.469,0.776,5.115,0.0,3.197,0.068,14.586,6.976,1.986,0.98,23.248,14.881
2007-10-06,2.784,0.063,15.31,11.366,2.208,0.912,27.592,19.491,0.208,0.002,3.563,1.616,0.473,0.779,5.184,0.0,2.992,0.065,18.873,12.981,2.68,1.692,32.776,19.491
2007-10-07,2.347,0.061,19.978,21.119,4.919,0.546,39.012,30.934,0.212,0.002,3.628,1.619,0.476,0.782,5.252,0.0,2.559,0.063,23.606,22.737,5.395,1.328,44.264,30.934
2007-10-08,2.224,0.06,24.955,35.448,3.879,0.513,52.112,30.946,0.215,0.002,3.692,1.622,0.48,0.785,5.32,0.0,2.44,0.062,28.647,37.07,4.359,1.298,57.432,30.946
2007-10-09,2.413,0.06,21.98,26.376,2.556,0.437,44.174,24.07,0.219,0.002,3.754,1.625,0.483,0.787,5.386,0.0,2.632,0.062,25.734,28.001,3.04,1.224,49.56,24.07
2007-10-10,3.067,0.065,19.207,19.269,1.89,0.365,37.063,19.009,0.222,0.003,3.815,1.629,0.487,0.79,5.451,0.0,3.29,0.067,23.022,20.898,2.377,1.155,42.514,19.009
2007-10-11,32.88,0.084,23.052,29.47,3.417,1.689,47.0,23.565,0.226,0.003,3.874,1.633,0.491,0.792,5.514,0.0,33.106,0.086,26.926,31.104,3.908,2.481,52.514,23.565
2007-10-12,31.002,0.08,21.567,25.238,3.366,1.516,43.098,23.967,0.229,0.003,3.93,1.638,0.495,0.794,5.575,0.0,31.231,0.083,25.498,26.875,3.861,2.31,48.673,23.967
2007-10-13,17.714,0.073,21.828,25.954,2.753,0.916,43.778,21.294,0.232,0.003,3.984,1.642,0.499,0.796,5.634,0.0,17.946,0.075,25.812,27.597,3.252,1.712,49.412,21.294
2007-10-14,12.365,0.074,21.968,26.344,3.35,0.724,44.144,19.683,0.234,0.003,4.035,1.647,0.503,0.797,5.69,0.0,12.599,0.077,26.003,27.991,3.854,1.522,49.834,19.683
2007-10-15,10.206,0.074,20.776,23.135,2.161,0.649,41.052,15.18,0.237,0.003,4.082,1.653,0.508,0.799,5.743,0.0,10.443,0.077,24.858,24.787,2.669,1.447,46.795,15.18
2007-10-16,8.025,0.075,19.66,20.344,1.936,0.481,38.205,14.604,0.24,0.003,4.129,1.66,0.513,0.801,5.797,0.0,8.265,0.078,23.789,22.003,2.449,1.282,44.002,14.604
2007-10-17,7.759,0.075,22.913,29.059,10.124,0.517,46.632,31.302,0.242,0.003,4.181,1.669,0.519,0.805,5.858,0.0,8.001,0.078,27.094,30.727,10.644,1.322,52.49,31.302
2007-10-18,13.829,0.11,20.159,21.567,4.371,0.655,39.473,18.4,0.245,0.004,4.236,1.68,0.528,0.81,5.925,0.0,14.074,0.114,24.396,23.247,4.898,1.465,45.398,18.4
2007-10-19,12.281,0.094,17.821,16.185,3.169,0.618,33.62,16.361,0.249,0.004,4.295,1.693,0.537,0.816,5.997,0.0,12.53,0.098,22.116,17.878,3.706,1.434,39.617,16.361
2007-10-20,11.805,0.084,18.492,17.639,2.795,0.477,35.277,16.309,0.252,0.004,4.358,1.708,0.548,0.824,6.075,0.0,12.057,0.088,22.849,19.347,3.343,1.3,41.352,16.309
2007-10-21,10.123,0.08,18.559,17.789,2.258,0.391,35.444,14.41,0.255,0.004,4.423,1.725,0.56,0.833,6.157,0.0,10.378,0.084,22.982,19.514,2.818,1.224,41.601,14.41
2007-10-22,8.54,0.078,17.188,14.878,1.815,0.35,32.075,13.157,0.259,0.004,4.49,1.743,0.572,0.843,6.243,0.0,8.799,0.082,21.678,16.621,2.388,1.193,38.318,13.157
2007-10-23,7.269,0.075,15.54,11.767,1.83,0.361,28.132,12.749,0.263,0.004,4.56,1.762,0.586,0.854,6.333,0.0,7.532,0.08,20.1,13.529,2.416,1.215,34.465,12.749
2007-10-24,6.423,0.073,13.938,9.133,1.672,0.359,24.417,11.893,0.267,0.005,4.632,1.783,0.6,0.866,6.425,0.0,6.689,0.078,18.57,10.916,2.272,1.224,30.842,11.893
2007-10-25,5.638,0.072,11.703,6.08,1.469,0.391,19.449,10.789,0.271,0.005,4.705,1.805,0.615,0.878,6.521,0.0,5.908,0.077,16.408,7.885,2.085,1.269,25.97,10.789
2007-10-26,5.062,0.069,10.223,4.438,1.29,0.353,16.311,10.38,0.275,0.005,4.779,1.827,0.631,0.891,6.618,0.0,5.336,0.074,15.003,6.265,1.921,1.244,22.929,10.38
2007-10-27,4.708,0.066,10.212,4.427,1.258,0.423,16.289,10.204,0.279,0.005,4.855,1.85,0.647,0.905,6.717,0.0,4.987,0.072,15.067,6.278,1.905,1.328,23.006,10.204
2007-10-28,4.026,0.065,9.861,4.081,1.05,0.427,15.563,8.933,0.283,0.005,4.93,1.874,0.663,0.919,6.816,0.0,4.308,0.07,14.791,5.955,1.713,1.346,22.379,8.933
2007-10-29,3.559,0.038,8.557,2.933,0.941,0.408,12.94,8.662,0.287,0.006,5.006,1.898,0.679,0.933,6.917,0.0,3.846,0.043,13.564,4.831,1.621,1.341,19.857,8.662
2007-10-30,3.188,0.013,7.84,2.392,0.89,0.386,11.546,8.68,0.291,0.006,5.082,1.922,0.696,0.947,7.017,0.0,3.478,0.018,12.922,4.314,1.586,1.334,18.563,8.68
2007-10-31,3.019,0.013,7.47,2.138,1.006,0.385,10.843,8.493,0.295,0.006,5.157,1.947,0.712,0.962,7.117,0.0,3.314,0.019,12.628,4.084,1.718,1.347,17.96,8.493
2007-11-01,2.852,0.02,8.007,2.512,1.256,0.383,11.867,8.63,0.299,0.006,5.232,1.971,0.728,0.976,7.215,0.0,3.151,0.026,13.238,4.483,1.984,1.359,19.082,8.63
2007-11-02,2.748,0.03,7.587,2.216,1.091,0.372,11.064,8.741,0.303,0.006,5.305,1.994,0.744,0.991,7.313,0.0,3.051,0.036,12.892,4.211,1.835,1.363,18.377,8.741
2007-11-03,2.552,0.018,7.119,1.911,0.925,0.411,10.184,8.157,0.307,0.007,5.377,2.018,0.76,1.005,7.408,0.0,2.859,0.024,12.496,3.929,1.685,1.416,17.592,8.157
2007-11-04,2.428,0.018,6.92,1.789,0.852,0.393,9.816,8.204,0.31,0.007,5.447,2.04,0.775,1.019,7.501,0.0,2.739,0.025,12.367,3.83,1.627,1.412,17.317,8.204
2007-11-05,2.765,0.015,7.125,1.915,0.915,0.385,10.196,8.488,0.314,0.007,5.514,2.062,0.789,1.032,7.591,0.0,3.079,0.022,12.64,3.977,1.704,1.417,17.787,8.488
2007-11-06,2.261,0.013,6.132,1.35,0.78,0.403,8.386,7.326,0.318,0.007,5.58,2.083,0.803,1.044,7.677,0.0,2.579,0.021,11.712,3.433,1.583,1.447,16.063,7.326
2007-11-07,2.089,0.016,5.68,1.13,0.708,0.395,7.591,6.874,0.321,0.007,5.642,2.103,0.815,1.056,7.76,0.0,2.41,0.023,11.322,3.233,1.523,1.451,15.351,6.874
2007-11-08,2.007,0.022,5.247,0.939,0.683,0.396,6.846,6.672,0.325,0.007,5.701,2.121,0.827,1.067,7.837,0.0,2.332,0.029,10.948,3.06,1.51,1.464,14.683,6.672
2007-11-09,1.862,0.019,5.216,0.926,0.638,0.385,6.793,6.427,0.328,0.008,5.757,2.138,0.838,1.078,7.91,0.0,2.19,0.027,10.972,3.064,1.475,1.463,14.703,6.427
2007-11-10,1.746,0.045,5.228,0.931,0.616,0.376,6.814,6.237,0.331,0.008,5.809,2.154,0.847,1.087,7.978,0.0,2.077,0.053,11.037,3.085,1.463,1.463,14.792,6.237
2007-11-11,1.942,0.079,4.998,0.839,0.566,0.385,6.427,5.943,0.333,0.008,5.856,2.167,0.855,1.095,8.039,0.0,2.275,0.087,10.855,3.006,1.421,1.48,14.466,5.943
2007-11-12,1.885,0.074,4.706,0.729,0.542,0.399,5.943,5.78,0.336,0.008,5.899,2.179,0.861,1.102,8.094,0.0,2.221,0.082,10.606,2.908,1.404,1.501,14.037,5.78
2007-11-13,2.025,0.072,4.883,0.794,0.56,0.371,6.234,6.083,0.338,0.008,5.937,2.188,0.866,1.107,8.142,0.0,2.363,0.08,10.82,2.982,1.427,1.478,14.376,6.083
2007-11-14,5.161,0.089,7.646,2.257,0.67,0.264,11.177,6.939,0.34,0.008,5.97,2.195,0.87,1.111,8.182,0.0,5.501,0.097,13.617,4.452,1.54,1.376,19.359,6.939
2007-11-15,2.817,0.086,6.853,1.749,0.562,0.451,9.691,6.322,0.342,0.008,5.998,2.2,0.871,1.114,8.214,0.0,3.159,0.094,12.851,3.949,1.434,1.565,17.905,6.322
2007-11-16,2.387,0.085,6.614,1.61,0.495,0.413,9.254,6.248,0.344,0.008,6.023,2.204,0.872,1.116,8.243,0.0,2.731,0.093,12.637,3.814,1.366,1.529,17.497,6.248
2007-11-17,2.015,0.064,6.244,1.408,0.446,0.372,8.586,5.828,0.345,0.008,6.049,2.209,0.872,1.12,8.274,0.0,2.36,0.072,12.293,3.617,1.318,1.491,16.86,5.828
2007-11-18,1.767,0.014,5.534,1.063,0.428,0.336,7.337,5.855,0.347,0.008,6.076,2.214,0.871,1.124,8.306,0.0,2.114,0.022,11.609,3.277,1.3,1.46,15.643,5.855
2007-11-19,1.601,0.035,5.138,0.894,0.455,0.31,6.662,5.905,0.348,0.008,6.103,2.219,0.871,1.13,8.339,0.0,1.949,0.043,11.241,3.114,1.326,1.44,15.001,5.905
2007-11-20,1.501,0.094,5.434,1.019,0.508,0.297,7.165,5.952,0.35,0.008,6.131,2.225,0.87,1.136,8.373,0.0,1.851,0.102,11.565,3.244,1.378,1.433,15.538,5.952
2007-11-21,1.365,0.096,5.578,1.083,0.539,0.312,7.413,5.798,0.351,0.008,6.159,2.232,0.869,1.144,8.408,0.0,1.716,0.104,11.737,3.315,1.408,1.455,15.821,5.798
2007-11-22,1.209,0.095,5.244,0.938,0.572,0.311,6.841,5.639,0.353,0.008,6.188,2.239,0.867,1.152,8.443,0.0,1.562,0.103,11.432,3.177,1.44,1.463,15.284,5.639
2007-11-23,1.149,0.091,5.616,1.1,0.584,0.324,7.48,5.48,0.354,0.008,6.217,2.246,0.866,1.161,8.479,0.0,1.503,0.099,11.833,3.347,1.45,1.485,15.959,5.48
2007-11-24,1.129,0.092,5.58,1.084,0.529,0.286,7.417,5.222,0.355,0.008,6.245,2.254,0.864,1.171,8.516,0.0,1.484,0.1,11.825,3.338,1.393,1.456,15.933,5.222
2007-11-25,1.058,0.092,5.343,0.979,0.578,0.304,7.009,5.167,0.356,0.008,6.274,2.262,0.863,1.18,8.552,0.0,1.415,0.1,11.616,3.241,1.441,1.485,15.561,5.167
2007-11-26,1.029,0.075,5.404,1.006,0.573,0.239,7.115,4.991,0.357,0.008,6.302,2.27,0.861,1.191,8.588,0.0,1.386,0.083,11.707,3.276,1.434,1.43,15.703,4.991
2007-11-27,1.252,0.02,5.341,0.979,0.521,0.252,7.006,4.973,0.358,0.008,6.33,2.278,0.859,1.202,8.624,0.0,1.611,0.028,11.671,3.257,1.38,1.454,15.63,4.973
2007-11-28,1.512,0.028,5.826,1.198,0.466,0.297,7.846,4.767,0.359,0.008,6.358,2.287,0.857,1.212,8.66,0.0,1.871,0.036,12.184,3.485,1.323,1.51,16.506,4.767
2007-11-29,1.137,0.027,5.104,0.881,0.408,0.325,6.604,4.444,0.36,0.008,6.385,2.295,0.855,1.223,8.695,0.0,1.497,0.035,11.488,3.175,1.263,1.548,15.299,4.444
2007-11-30,2.517,0.028,5.199,0.919,0.412,0.164,6.765,4.612,0.361,0.008,6.411,2.303,0.853,1.235,8.729,0.0,2.878,0.036,11.61,3.223,1.265,1.398,15.494,4.612
2007-12-01,2.262,0.028,5.985,1.276,0.379,0.367,8.125,4.384,0.362,0.008,6.436,2.311,0.851,1.246,8.763,0.0,2.624,0.036,12.421,3.587,1.23,1.612,16.888,4.384
2007-12-02,1.91,0.029,5.359,0.986,0.374,0.255,7.037,4.261,0.363,0.008,6.46,2.32,0.849,1.256,8.795,0.0,2.272,0.037,11.819,3.306,1.223,1.512,15.832,4.261
2007-12-03,1.596,0.031,5.205,0.922,0.376,0.281,6.775,4.102,0.363,0.008,6.483,2.328,0.847,1.267,8.826,0.0,1.96,0.039,11.688,3.249,1.223,1.548,15.601,4.102
2007-12-04,1.452,0.032,5.028,0.85,0.416,0.244,6.476,4.035,0.364,0.008,6.505,2.335,0.845,1.277,8.855,0.0,1.817,0.04,11.532,3.185,1.261,1.521,15.331,4.035
2007-12-05,1.291,0.034,5.11,0.883,0.411,0.245,6.614,3.901,0.365,0.008,6.525,2.343,0.843,1.287,8.883,0.0,1.655,0.042,11.635,3.225,1.254,1.533,15.497,3.901
2007-12-06,1.213,0.05,5.047,0.858,0.43,0.141,6.509,3.939,0.365,0.008,6.544,2.35,0.842,1.297,8.908,0.0,1.578,0.058,11.591,3.208,1.272,1.438,15.417,3.939
2007-12-07,1.138,0.123,5.629,1.106,0.378,0.193,7.502,3.821,0.366,0.008,6.561,2.356,0.841,1.305,8.932,0.0,1.503,0.131,12.19,3.462,1.219,1.499,16.434,3.821
2007-12-08,0.952,0.051,4.987,0.834,0.352,0.204,6.408,3.651,0.366,0.008,6.576,2.362,0.84,1.313,8.953,0.0,1.318,0.059,11.563,3.197,1.191,1.517,15.361,3.651
2007-12-09,0.826,0.02,4.573,0.682,0.35,0.183,5.725,3.552,0.366,0.008,6.59,2.368,0.839,1.321,8.973,0.0,1.193,0.028,11.163,3.05,1.189,1.504,14.698,3.552
